"","site","island","species","species_code","phase","vg_mean","vg_se","vg_capped_mean","vg_capped_se"
"36","Rendezvous","Antigua","Sparisoma viride","stop","i",148.70224994336,30.4610097399745,13.9142571231418,3.16867300249512
"37","Rendezvous","Antigua","Sparisoma viride","stop","t",103.303736867611,53.9137742525783,11.9859167646087,6.44561367095236
"38","Snapper Point","Antigua","Scarus vetula","qup","i",222.965275417857,99.2812166089219,12.1194870197018,5.66909429486135
"39","Snapper Point","Antigua","Scarus vetula","qup","t",1158.44199961726,620.871349908685,95.072073325247,56.5872683709448
"40","Snapper Point","Antigua","Sparisoma viride","stop","i",264.873720482292,104.158725266964,17.3951193354098,6.62085846628691
"41","Snapper Point","Antigua","Sparisoma viride","stop","t",514.089360464063,353.313168208385,43.3887747723602,32.5902407970225
"42","Turtle Bay","Antigua","Scarus vetula","qup","i",421.273305625334,138.587147119487,45.2907351170928,15.4970512134992
"43","Turtle Bay","Antigua","Sparisoma viride","stop","i",231.455340442334,62.3262799145312,23.4656321156606,7.16136080459389
"44","Turtle Bay","Antigua","Sparisoma viride","stop","t",0,NA,0,NA
"45","Windward","Antigua","Scarus vetula","qup","i",395.706189391069,145.557018518732,38.8624321093621,18.5571384449689
"46","Windward","Antigua","Scarus vetula","qup","t",0,NA,0,NA
"47","Windward","Antigua","Sparisoma viride","stop","i",272.156600510818,82.1002189380755,32.2722165378691,11.9375744638326
"48","Windward","Antigua","Sparisoma viride","stop","t",849.78212983073,460.630064596355,129.971767171011,84.6794158275553
