Date,Region,Site,Transect,Species Code,Common Name,Species,Family,Functional Group,Length,Phase,a,b,Biomass
2011,Bonaire,Bachelor's Beach,6,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,22,i,-3.2257,2.3852,229.8510957
2011,Bonaire,Bachelor's Beach,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,30,i,-5.0162,3.1109,489.6395739
2011,Bonaire,Bachelor's Beach,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,30,i,-5.0162,3.1109,489.6395739
2011,Bonaire,Bachelor's Beach,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,32,i,-5.0162,3.1109,598.5095266
2011,Bonaire,Bachelor's Beach,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,27,t,-5.0162,3.1109,352.8007778
2011,Bonaire,Bachelor's Beach,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,27,t,-5.0162,3.1109,352.8007778
2011,Bonaire,Bachelor's Beach,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,27,t,-5.0162,3.1109,352.8007778
2011,Bonaire,Bachelor's Beach,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,27,t,-5.0162,3.1109,352.8007778
2011,Bonaire,Bachelor's Beach,6,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,15,t,-4.0781,2.7438,78.10146793
2011,Bonaire,Bachelor's Beach,6,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,20,t,-4.0781,2.7438,171.9753104
2011,Bonaire,Bachelor's Beach,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,12,i,-4.4317,2.9051,40.60031825
2011,Bonaire,Bachelor's Beach,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,25,i,-4.4317,2.9051,342.4171586
2011,Bonaire,Bachelor's Beach,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,i,-4.4317,2.9051,581.547184
2011,Bonaire,Bachelor's Beach,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,i,-4.4317,2.9051,581.547184
2011,Bonaire,Bachelor's Beach,7,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,18,,-4.6005,2.9752,128.6431771
2011,Bonaire,Bachelor's Beach,7,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,17,,-2.8242,2.2638,167.9152994
2011,Bonaire,Bachelor's Beach,7,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,,-2.8242,2.2638,191.1110933
2011,Bonaire,Bachelor's Beach,7,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,,-2.8242,2.2638,191.1110933
2011,Bonaire,Bachelor's Beach,7,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,,-2.8242,2.2638,191.1110933
2011,Bonaire,Bachelor's Beach,7,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,15,,-4.7033,3.0825,101.0418539
2011,Bonaire,Bachelor's Beach,7,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,23,t,-4.8887,3.0548,211.7903624
2011,Bonaire,Bachelor's Beach,7,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,18,i,-3.2257,2.3852,142.4216389
2011,Bonaire,Bachelor's Beach,7,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,19,i,-3.2257,2.3852,162.025395
2011,Bonaire,Bachelor's Beach,7,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,12,i,-5.0162,3.1109,28.30902672
2011,Bonaire,Bachelor's Beach,7,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,32,t,-5.0162,3.1109,598.5095266
2011,Bonaire,Bachelor's Beach,7,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,23,i,-4.4317,2.9051,268.7543711
2011,Bonaire,Bachelor's Beach,7,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,i,-4.4317,2.9051,475.925305
2011,Bonaire,Bachelor's Beach,7,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Bachelor's Beach,7,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,33,t,-4.4317,2.9051,767.069733
2011,Bonaire,Bachelor's Beach,8,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,17,,-4.6005,2.9752,108.5254589
2011,Bonaire,Bachelor's Beach,8,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,18,,-4.6005,2.9752,128.6431771
2011,Bonaire,Bachelor's Beach,8,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,18,,-4.6005,2.9752,128.6431771
2011,Bonaire,Bachelor's Beach,8,dcf,Doctorfish,Acanthurus chirurgus,Acanthuridae,Herbivores,20,,-2.4262,2.0768,225.205553
2011,Bonaire,Bachelor's Beach,8,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,17,,-2.8242,2.2638,167.9152994
2011,Bonaire,Bachelor's Beach,8,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,,-2.8242,2.2638,191.1110933
2011,Bonaire,Bachelor's Beach,8,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,20,,-2.8242,2.2638,242.5893351
2011,Bonaire,Bachelor's Beach,8,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,13,,-4.7033,3.0825,65.00254842
2011,Bonaire,Bachelor's Beach,8,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,15,,-4.7033,3.0825,101.0418539
2011,Bonaire,Bachelor's Beach,8,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,20,i,-4.8887,3.0548,138.1931228
2011,Bonaire,Bachelor's Beach,8,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,23,t,-4.8887,3.0548,211.7903624
2011,Bonaire,Bachelor's Beach,8,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,10,j,-3.2257,2.3852,35.05096668
2011,Bonaire,Bachelor's Beach,8,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Bachelor's Beach,8,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Bachelor's Beach,8,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Bachelor's Beach,8,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,25,t,-3.2257,2.3852,311.7931062
2011,Bonaire,Bachelor's Beach,8,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,28,i,-5.0162,3.1109,395.0607826
2011,Bonaire,Bachelor's Beach,8,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,10,j,-5.0162,3.1109,16.05461887
2011,Bonaire,Bachelor's Beach,8,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,33,t,-5.0162,3.1109,658.6353186
2011,Bonaire,Bachelor's Beach,8,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,t,-5.0162,3.1109,790.9358834
2011,Bonaire,Bachelor's Beach,8,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,t,-5.0162,3.1109,790.9358834
2011,Bonaire,Bachelor's Beach,8,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,20,i,-4.0781,2.7438,171.9753104
2011,Bonaire,Bachelor's Beach,8,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,20,i,-4.0781,2.7438,171.9753104
2011,Bonaire,Bachelor's Beach,8,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,23,t,-4.0781,2.7438,252.3532118
2011,Bonaire,Bachelor's Beach,8,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,23,i,-4.4317,2.9051,268.7543711
2011,Bonaire,Bachelor's Beach,8,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,i,-4.4317,2.9051,701.4733917
2011,Bonaire,Bachelor's Beach,8,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Bachelor's Beach,8,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Bachelor's Beach,8,ytp,Yellowtail parrotfish,Sparisoma rubripinne,Scaridae,Herbivores,15,t,-4.8701,3.0641,62.75686304
2011,Bonaire,Bachelor's Beach,8,ytp,Yellowtail parrotfish,Sparisoma rubripinne,Scaridae,Herbivores,22,t,-4.8701,3.0641,202.9164876
2011,Bonaire,Bachelor's Beach,8,ytp,Yellowtail parrotfish,Sparisoma rubripinne,Scaridae,Herbivores,22,t,-4.8701,3.0641,202.9164876
2011,Bonaire,Bachelor's Beach,8,ytp,Yellowtail parrotfish,Sparisoma rubripinne,Scaridae,Herbivores,25,t,-4.8701,3.0641,300.2119536
2011,Bonaire,Barcadera,1,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,17,,-4.7033,3.0825,148.613684
2011,Bonaire,Barcadera,1,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,27,t,-4.8887,3.0548,345.6447993
2011,Bonaire,Barcadera,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,26,i,-5.0162,3.1109,313.7188311
2011,Bonaire,Barcadera,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,30,i,-5.0162,3.1109,489.6395739
2011,Bonaire,Barcadera,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,36,t,-5.0162,3.1109,863.3789375
2011,Bonaire,Barcadera,1,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,22,t,-4.0781,2.7438,223.3774617
2011,Bonaire,Barcadera,1,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,23,t,-4.0781,2.7438,252.3532118
2011,Bonaire,Barcadera,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,23,i,-4.4317,2.9051,268.7543711
2011,Bonaire,Barcadera,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,25,i,-4.4317,2.9051,342.4171586
2011,Bonaire,Barcadera,2,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,13,,-4.7033,3.0825,65.00254842
2011,Bonaire,Barcadera,2,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,18,,-4.7033,3.0825,177.2464301
2011,Bonaire,Barcadera,2,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,24,t,-3.2257,2.3852,282.8654168
2011,Bonaire,Barcadera,2,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,32,i,-5.0162,3.1109,598.5095266
2011,Bonaire,Barcadera,2,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,t,-5.0162,3.1109,790.9358834
2011,Bonaire,Barcadera,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,i,-4.4317,2.9051,475.925305
2011,Bonaire,Barcadera,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,i,-4.4317,2.9051,475.925305
2011,Bonaire,Barcadera,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,i,-4.4317,2.9051,581.547184
2011,Bonaire,Barcadera,3,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,15,,-4.7033,3.0825,101.0418539
2011,Bonaire,Barcadera,3,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,18,,-4.7033,3.0825,177.2464301
2011,Bonaire,Barcadera,3,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,20,t,-4.8887,3.0548,138.1931228
2011,Bonaire,Barcadera,3,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,23,t,-4.8887,3.0548,211.7903624
2011,Bonaire,Barcadera,3,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,25,t,-4.8887,3.0548,273.2292176
2011,Bonaire,Barcadera,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,i,-3.2257,2.3852,183.1119745
2011,Bonaire,Barcadera,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,10,j,-3.2257,2.3852,35.05096668
2011,Bonaire,Barcadera,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Barcadera,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,26,i,-5.0162,3.1109,313.7188311
2011,Bonaire,Barcadera,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,t,-5.0162,3.1109,790.9358834
2011,Bonaire,Barcadera,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,25,i,-4.4317,2.9051,342.4171586
2011,Bonaire,Barcadera,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Barcadera,4,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,17,,-2.8242,2.2638,167.9152994
2011,Bonaire,Barcadera,4,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,13,,-4.7033,3.0825,65.00254842
2011,Bonaire,Barcadera,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,12,i,-3.2257,2.3852,54.14559221
2011,Bonaire,Barcadera,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,i,-3.2257,2.3852,183.1119745
2011,Bonaire,Barcadera,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Barcadera,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,24,t,-3.2257,2.3852,282.8654168
2011,Bonaire,Barcadera,4,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,t,-5.0162,3.1109,790.9358834
2011,Bonaire,Barcadera,4,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,t,-5.0162,3.1109,790.9358834
2011,Bonaire,Barcadera,4,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,18,i,-4.0781,2.7438,128.8002481
2011,Bonaire,Barcadera,4,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,i,-4.4317,2.9051,475.925305
2011,Bonaire,Barcadera,4,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Barcadera,5,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,12,,-4.7033,3.0825,50.78976354
2011,Bonaire,Barcadera,5,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,15,,-4.7033,3.0825,101.0418539
2011,Bonaire,Barcadera,5,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,22,t,-4.8887,3.0548,184.898252
2011,Bonaire,Barcadera,5,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,23,t,-4.8887,3.0548,211.7903624
2011,Bonaire,Barcadera,5,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,23,t,-4.8887,3.0548,211.7903624
2011,Bonaire,Barcadera,5,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,27,i,-5.0162,3.1109,352.8007778
2011,Bonaire,Barcadera,5,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,34,t,-5.0162,3.1109,722.7327969
