Date,Region,Diver,Site,Transect,Species Code,Common Name,Species,Family,Functional Group,Length,Number,Phase,a,b,Biomass
3/5/17,Bonaire,REB,Calabas,2,RoH,Rock Hind,Epinephelus ascensionis,Serranidae,Carnivores,16,2,,0.01122,3.04,51.34729908
3/5/17,Bonaire,REB,Calabas,3,SqF,Squirrel Fish,Holocentrus adsensionis,Holocentridae,Carnivores,12,6,,0.0115,2.89,15.1192985
3/5/17,Bonaire,REB,Calabas,3,GtF,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,12,1,,0.00977,3.14,23.90692264
3/5/17,Bonaire,REB,Calabas,3,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Carnivores,17,1,,0.01259,2.99,60.12678811
3/5/17,Bonaire,REB,Calabas,3,TrF,Trumpet Fish,Aulostomus maculatus,Aulostomidae,Carnivores,25,1,,0.004,2.865,40.47232149
3/5/17,Bonaire,REB,Calabas,3,BlG,Blue Stripped Grunt,Haemulon sciurus,Haemulidae,Carnivores,13,1,,0.0194,2.9996,42.57809332
3/5/17,Bonaire,REB,Calabas,3,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,12,1,,0.0405,2.718,34.72719054
3/5/17,Bonaire,REB,Calabas,3,CsG,Caesar Grunt,Haemulon carbonarium,Haemulidae,Carnivores,18,2,,0.0147,3.0559,100.7638106
3/5/17,Bonaire,REB,Calabas,3,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,22,1,,0.0405,2.718,180.3681578
3/5/17,Bonaire,REB,Calabas,3,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,45,1,,0.0405,2.718,1261.498201
3/5/17,Bonaire,REB,Calabas,4,SpH,Spanish Hogfish,Bodianus rufus,Labridae,Carnivores,18,1,,0.0144,3.0532,97.94009133
3/5/17,Bonaire,REB,Calabas,4,SqF,Squirrel Fish,Holocentrus adsensionis,Holocentridae,Carnivores,10,6,,0.0115,2.89,8.926841841
3/5/17,Bonaire,REB,Calabas,4,CsG,Caesar Grunt,Haemulon carbonarium,Haemulidae,Carnivores,21,1,,0.0147,3.0559,161.3939599
3/5/17,Bonaire,REB,Calabas,4,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,32,1,,0.0405,2.718,499.4047449
3/5/17,Bonaire,REB,Calabas,4,mgs,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,14,1,,0.0429,2.719,56.07630913
3/5/17,Bonaire,REB,Calabas,4,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,21,1,,0.203,3.126,2759.01177
3/5/17,Bonaire,REB,Calabas,4,Inl,Inshore Lizardfish,Synodus foetens,Synodontidae,Carnivores,22,1,,0.0038,3.21,77.43911874
3/5/17,Bonaire,REB,Calabas,4,GtF,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,13,1,,0.00977,3.14,30.7380767
3/5/17,Bonaire,REB,Calabas,4,bdb,Banded Butterflyfish,Chaetodan striatus,Chaetodontidae,Carnivores,5,2,,0.0222,3.1395,3.473515995
3/5/17,Bonaire,REB,Calabas,4,BhW,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,6,1,,0.0107,2.916,1.98825839
3/5/17,Bonaire,REB,Calabas,4,GtF,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,16,1,,0.00977,3.14,58.9971876
3/5/17,Bonaire,MWW,Calabas,1,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,40,1,,0.0405,2.718,915.9126972
3/5/17,Bonaire,MWW,Calabas,1,MgS,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,20,1,,0.0429,2.719,147.8964843
3/5/17,Bonaire,MWW,Calabas,1,BdB,Banded Butterflyfish,Chaetodan striatus,Chaetodontidae,Carnivores,12,1,,0.0222,3.1395,54.25534088
3/5/17,Bonaire,MWW,Calabas,1,whf,Whitespotted Filefish,Cantherhines macrocerus,Monacanthidae,Carnivores,32,1,,0.0562,2.6534,553.9891615
3/5/17,Bonaire,MWW,Calabas,1,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,25,1,,0.0127,3.1581,330.0943283
3/5/17,Bonaire,MWW,Calabas,1,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,14,1,,0.01,3.13,38.67058586
3/5/17,Bonaire,MWW,Calabas,1,BlM,Black Margate,Anisotremus surinamensis,Haemulidae,Carnivores,35,1,,0.0233,3.01,1035.143917
3/5/17,Bonaire,MWW,Calabas,1,CoN,Coney,Cephalopholis fulva,Serranidae,Carnivores,18,1,,0.0175,3,102.06
3/5/17,Bonaire,MWW,Calabas,1,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,21,1,,0.111,2.72,438.2878792
3/5/17,Bonaire,MWW,Calabas,1,SpD,Spotted Drum,Equetus punctatus,Sciaenidae,Carnivores,15,1,,0.0085,3.08,35.62706151
3/5/17,Bonaire,MWW,Calabas,1,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,12,1,,0.01,3.13,23.86916904
3/5/17,Bonaire,MWW,Calabas,1,TrF,Trumpet Fish,Aulostomus maculatus,Aulostomidae,Carnivores,41,1,,0.004,2.865,166.9881836
3/5/17,Bonaire,MWW,Calabas,1,SgM,Sergeant Major,Abudefduf saxatilis,Pomacentridae,Carnivores,10,40,,0.0227,3.142,31.47935732
3/5/17,Bonaire,MWW,Calabas,1,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,10,1,,0.01,3.13,13.48962883
3/5/17,Bonaire,MWW,Calabas,1,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,20,2,,0.111,2.72,383.8173185
3/5/17,Bonaire,MWW,Calabas,1,PuD,Puddingwife,Halichoeres radiatus,Labridae,Carnivores,12,1,,0.0131,3.038,24.87848449
3/5/17,Bonaire,MWW,Calabas,1,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,25,1,,0.0135,3.0439,242.9536124
3/5/17,Bonaire,MWW,Calabas,1,lss,Longspine squirrelfish,Holocentrus rufus,Holocentridae,Carnivores,18,1,,0.01148,2.89,48.71687563
3/5/17,Bonaire,MWW,Calabas,1,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,20,1,,0.0127,3.1581,163.1498017
3/5/17,Bonaire,MWW,Calabas,1,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,21,1,,0.0127,3.1581,190.3287852
3/5/17,Bonaire,MWW,Calabas,1,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,26,1,,0.0135,3.0439,273.760725
3/5/17,Bonaire,MWW,Calabas,1,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,31,1,,0.203,3.126,9321.647862
3/5/17,Bonaire,MWW,Calabas,2,BaJ,Bar Jack,Caranx ruber,Carangidae,Carnivores,45,2,,0.0074,3.237,1662.189853
3/5/17,Bonaire,MWW,Calabas,2,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,35,1,,0.0194,2.9779,768.9214198
3/5/17,Bonaire,MWW,Calabas,2,DgS,Dog Snapper,Lutjanus jocu,Lutjanidae,Carnivores,40,1,,0.01585,2.98,942.2541105
3/5/17,Bonaire,MWW,Calabas,2,BaJ,Bar Jack,Caranx ruber,Carangidae,Carnivores,28,2,,0.0074,3.237,357.8345471
3/5/17,Bonaire,MWW,Calabas,2,SpH,Spanish Hogfish,Bodianus rufus,Labridae,Carnivores,30,1,,0.0144,3.0532,465.9175901
3/5/17,Bonaire,MWW,Calabas,2,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,15,12,,0.111,2.72,175.5056909
3/5/17,Bonaire,MWW,Calabas,2,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Carnivores,20,1,,0.01259,2.99,97.74744564
3/5/17,Bonaire,MWW,Calabas,2,whf,Whitespotted Filefish,Cantherhines macrocerus,Monacanthidae,Carnivores,20,1,,0.0562,2.6534,159.1802953
3/5/17,Bonaire,MWW,Calabas,2,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,26,1,,0.203,3.126,5379.014607
3/5/17,Bonaire,MWW,Calabas,2,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/5/17,Bonaire,MWW,Calabas,2,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,25,1,,0.0405,2.718,255.3030286
3/5/17,Bonaire,MWW,Calabas,2,GtF,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,14,3,,0.00977,3.14,38.791502
3/5/17,Bonaire,MWW,Calabas,2,BhW,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,10,1,,0.0107,2.916,8.818277831
3/5/17,Bonaire,MWW,Calabas,2,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,20,1,,0.0127,3.1581,163.1498017
3/5/17,Bonaire,MWW,Calabas,2,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,22,1,,0.0127,3.1581,220.4493331
3/5/17,Bonaire,MWW,Calabas,2,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Carnivores,12,1,,0.01259,2.99,21.2215771
3/5/17,Bonaire,MWW,Calabas,2,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,12,1,,0.0135,3.0439,26.01678113
3/5/17,Bonaire,MWW,Calabas,2,QuM,Spotted Goatfish,Pseudupeneus maculatus,Mullidae,Carnivores,20,1,,0.01,3.12,114.6076444
3/5/17,Bonaire,MWW,Calabas,2,QuM,Spotted Goatfish,Pseudupeneus maculatus,Mullidae,Carnivores,19,1,,0.01,3.12,97.6587666
3/5/17,Bonaire,MWW,Calabas,2,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,18,2,,0.111,2.72,288.180236
3/5/17,Bonaire,MWW,Calabas,2,CsG,Caesar Grunt,Haemulon carbonarium,Haemulidae,Carnivores,25,1,,0.0147,3.0559,274.9680332
3/5/17,Bonaire,MWW,Calabas,2,ReH,Red Hind,Epinephelus guttatus,Serranidae,Carnivores,16,1,,0.01122,3.04,51.34729908
3/5/17,Bonaire,MWW,Calabas,2,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/5/17,Bonaire,MWW,Calabas,2,BlG,Blue Stripped Grunt,Haemulon sciurus,Haemulidae,Carnivores,30,1,,0.0194,2.9996,523.0878657
3/5/17,Bonaire,MWW,Calabas,3,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,35,1,,0.0194,2.9779,768.9214198
3/5/17,Bonaire,MWW,Calabas,3,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,32,1,,0.0194,2.9779,588.8271824
3/5/17,Bonaire,MWW,Calabas,3,CuS,Cubera Snapper,Lutjanus cyanopterus,Lutjanidae,Carnivores,60,1,,0.0151,3.0601,4171.551299
3/5/17,Bonaire,MWW,Calabas,3,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,15,5,,0.111,2.72,175.5056909
3/5/17,Bonaire,MWW,Calabas,3,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Carnivores,13,1,,0.01259,2.99,26.9597806
3/5/17,Bonaire,MWW,Calabas,3,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,14,1,,0.0127,3.1581,52.89208296
3/5/17,Bonaire,MWW,Calabas,3,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,18,1,,0.0135,3.0439,89.38358035
3/5/17,Bonaire,MWW,Calabas,3,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,12,1,,0.0135,3.0439,26.01678113
3/5/17,Bonaire,MWW,Calabas,3,BhW,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,8,20,,0.0107,2.916,4.600385011
3/5/17,Bonaire,MWW,Calabas,3,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/5/17,Bonaire,MWW,Calabas,3,ham,Hamlet spp.,Hypoplectrus puella,Serranidae,Carnivores,12,1,,0.009,3.04,17.1772445
3/5/17,Bonaire,MWW,Calabas,3,MgS,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,22,3,,0.0429,2.719,191.6481191
3/5/17,Bonaire,MWW,Calabas,3,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,18,1,,0.111,2.72,288.180236
3/5/17,Bonaire,MWW,Calabas,3,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,22,1,,0.0127,3.1581,220.4493331
3/5/17,Bonaire,MWW,Calabas,3,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,18,1,,0.0127,3.1581,116.9714354
3/5/17,Bonaire,MWW,Calabas,3,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,14,1,,0.0127,3.1581,52.89208296
3/5/17,Bonaire,MWW,Calabas,3,CrF,Creole Fish,Paranthias furcifer,Serranidae,Carnivores,22,1,,0.0135,3.043,164.182168
3/5/17,Bonaire,MWW,Calabas,3,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,15,3,,0.0127,3.1581,65.7684378
3/5/17,Bonaire,MWW,Calabas,3,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,12,1,,0.0127,3.1581,32.50618585
3/5/17,Bonaire,MWW,Calabas,3,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/5/17,Bonaire,MWW,Calabas,3,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,19,1,,0.0127,3.1581,138.7507911
3/5/17,Bonaire,MWW,Calabas,3,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,15,6,,0.111,2.72,175.5056909
3/5/17,Bonaire,MWW,Calabas,3,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,12,3,,0.01,3.13,23.86916904
3/5/17,Bonaire,MWW,Calabas,3,BhW,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,5,5,,0.0107,2.916,1.168369766
3/5/17,Bonaire,MWW,Calabas,3,TrF,Trumpet Fish,Aulostomus maculatus,Aulostomidae,Carnivores,38,1,,0.004,2.865,134.3197874
3/5/17,Bonaire,MWW,Calabas,3,TrF,Trumpet Fish,Aulostomus maculatus,Aulostomidae,Carnivores,51,1,,0.004,2.865,312.0675029
3/5/17,Bonaire,MWW,Calabas,3,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/5/17,Bonaire,MWW,Calabas,3,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,35,1,,0.0194,2.9779,768.9214198
3/5/17,Bonaire,MWW,Calabas,4,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,42,1,,0.0194,2.9779,1323.353261
3/5/17,Bonaire,MWW,Calabas,4,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,25,1,,0.0135,3.0439,242.9536124
3/5/17,Bonaire,MWW,Calabas,4,RoH,Rock Hind,Epinephelus ascensionis,Serranidae,Carnivores,29,1,,0.01122,3.04,313.0997858
3/5/17,Bonaire,MWW,Calabas,4,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Carnivores,15,5,,0.01259,2.99,41.35600648
3/5/17,Bonaire,MWW,Calabas,4,SgM,Sergeant Major,Abudefduf saxatilis,Pomacentridae,Carnivores,12,15,,0.0227,3.142,55.82302056
3/5/17,Bonaire,MWW,Calabas,4,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,16,6,,0.111,2.72,209.1844182
3/5/17,Bonaire,MWW,Calabas,4,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,20,1,,0.0127,3.1581,163.1498017
3/5/17,Bonaire,MWW,Calabas,4,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/5/17,Bonaire,MWW,Calabas,4,BhW,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,5,30,,0.0107,2.916,1.168369766
3/5/17,Bonaire,MWW,Calabas,4,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,28,1,,0.0135,3.0439,343.0347366
3/5/17,Bonaire,MWW,Calabas,4,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,12,4,,0.01,3.13,23.86916904
3/5/17,Bonaire,MWW,Calabas,4,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,12,1,,0.0405,2.718,34.72719054
3/5/17,Bonaire,MWW,Calabas,4,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,18,1,,0.0135,3.0439,89.38358035
3/5/17,Bonaire,MWW,Calabas,4,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,8,1,,0.01,3.13,6.709214228
3/5/17,Bonaire,MWW,Calabas,4,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,12,1,,0.0127,3.1581,32.50618585
3/5/17,Bonaire,MWW,Calabas,4,Pud,Puddingwife,Halichoeres radiatus,Labridae,Carnivores,14,1,,0.0131,3.038,39.73820703
3/5/17,Bonaire,MWW,Calabas,4,whf,Whitespotted Filefish,Cantherhines macrocerus,Monacanthidae,Carnivores,15,1,,0.0562,2.6534,74.19537981
3/5/17,Bonaire,MWW,Calabas,4,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,18,2,,0.111,2.72,288.180236
3/5/17,Bonaire,MWW,Calabas,4,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,16,1,,0.111,2.72,209.1844182
3/5/17,Bonaire,MWW,Calabas,4,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,26,1,,0.0135,3.0439,273.760725
3/5/17,Bonaire,MWW,Calabas,4,4eB,Foureye Butterflyfish,Chaetodon capistratus,Chaetodontidae,Carnivores,12,1,,0.022,3.1897,60.90978988
3/5/17,Bonaire,MWW,Calabas,5,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,30,1,,0.0194,2.9779,485.8711523
3/5/17,Bonaire,MWW,Calabas,5,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,26,1,,0.203,3.126,5379.014607
3/5/17,Bonaire,MWW,Calabas,5,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,22,1,,0.0194,2.9779,192.9310959
3/5/17,Bonaire,MWW,Calabas,5,BaJ,Bar Jack,Caranx ruber,Carangidae,Carnivores,26,1,,0.0074,3.237,281.5142913
3/5/17,Bonaire,MWW,Calabas,5,ScH,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,25,1,,0.0194,2.9779,282.3106629
3/5/17,Bonaire,MWW,Calabas,5,BaJ,Bar Jack,Caranx ruber,Carangidae,Carnivores,30,1,,0.0074,3.237,447.3765553
3/5/17,Bonaire,MWW,Calabas,5,GtF,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,22,1,,0.00977,3.14,160.3621172
3/5/17,Bonaire,MWW,Calabas,5,BhW,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,10,1,,0.0107,2.916,8.818277831
3/5/17,Bonaire,MWW,Calabas,5,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,12,1,,0.01,3.13,23.86916904
3/5/17,Bonaire,MWW,Calabas,5,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,15,1,,0.0127,3.1581,65.7684378
3/5/17,Bonaire,MWW,Calabas,5,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,30,1,,0.203,3.126,8413.507383
3/5/17,Bonaire,MWW,Calabas,5,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,29,1,,0.0135,3.0439,381.7042841
3/5/17,Bonaire,MWW,Calabas,5,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,25,1,,0.0135,3.0439,242.9536124
3/5/17,Bonaire,MWW,Calabas,5,pud,Puddingwife,Halichoeres radiatus,Labridae,Carnivores,29,1,,0.0131,3.038,363.1084982
3/5/17,Bonaire,MWW,Calabas,5,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Carnivores,19,1,,0.01259,2.99,83.8492142
3/5/17,Bonaire,MWW,Calabas,5,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,26,1,,0.203,3.126,5379.014607
3/5/17,Bonaire,MWW,Calabas,5,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Carnivores,20,30,,0.01259,2.99,97.74744564
3/5/17,Bonaire,MWW,Calabas,5,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,20,1,,0.111,2.72,383.8173185
3/5/17,Bonaire,MWW,Calabas,5,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,18,1,,0.111,2.72,288.180236
3/5/17,Bonaire,MWW,Calabas,5,BlB,Blackbar soldierfish,Myripristis jacobus ,Holocentridae,Carnivores,16,1,,0.111,2.72,209.1844182
3/5/17,Bonaire,MWW,Calabas,5,BdB,Banded Butterflyfish,Chaetodan striatus,Chaetodontidae,Carnivores,16,2,,0.0222,3.1395,133.8713552
3/5/17,Bonaire,MWW,Calabas,5,YhW,Yellowhead Wrasse,Halichoeres garnoti,Labridae,Carnivores,14,1,,0.01,3.13,38.67058586
3/5/17,Bonaire,MWW,Calabas,5,WhF,Whitespotted Filefish,Cantherhines macrocerus,Monacanthidae,Carnivores,23,1,,0.0562,2.6534,230.645484
3/5/17,Bonaire,MWW,Calabas,5,whf,Whitespotted Filefish,Cantherhines macrocerus,Monacanthidae,Carnivores,20,1,,0.0562,2.6534,159.1802953
3/5/17,Bonaire,MWW,Calabas,5,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,22,1,,0.0135,3.0439,164.6395486
3/5/17,Bonaire,MWW,Calabas,5,BlG,Blue Stripped Grunt,Haemulon sciurus,Haemulidae,Carnivores,30,1,,0.0194,2.9996,523.0878657
3/5/17,Bonaire,MWW,Calabas,5,SpH,Spanish Hogfish,Bodianus rufus,Labridae,Carnivores,28,1,,0.0144,3.0532,377.4204198
3/5/17,Bonaire,MWW,Calabas,5,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,25,1,,0.203,3.126,4758.351333
3/5/17,Bonaire,MWW,Calabas,5,FrA,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,15,1,,0.203,3.126,963.7342947
3/5/17,Bonaire,REB,Front Porch,1,sph,Spanish Hogfish,Bodianus rufus,Labridae,Carnivores,14,1,,0.0144,3.0532,45.46954524
3/5/17,Bonaire,REB,Front Porch,1,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,18,1,,0.0405,2.718,104.5407694
3/5/17,Bonaire,REB,Front Porch,1,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,16,1,,0.203,3.126,1179.166422
3/5/17,Bonaire,REB,Front Porch,1,SqF,Squirrel Fish,Holocentrus adsensionis,Holocentridae,Carnivores,13,1,,0.0115,2.89,19.05434957
3/5/17,Bonaire,REB,Front Porch,1,sgm,Sergeant Major,Abudefduf saxatilis,Pomacentridae,Carnivores,7,1,,0.0227,3.142,10.26417148
3/5/17,Bonaire,REB,Front Porch,1,frg,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,17,1,,0.0127,3.1581,97.65274586
3/5/17,Bonaire,REB,Front Porch,1,RoH,Rock Hind,Epinephelus ascensionis,Serranidae,Carnivores,15,1,,0.01122,3.04,42.19978948
3/5/17,Bonaire,REB,Front Porch,2,4eb,Foureye Butterflyfish,Chaetodon capistratus,Chaetodontidae,Carnivores,5,1,,0.022,3.1897,3.731876849
3/5/17,Bonaire,REB,Front Porch,2,frg,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,14,1,,0.0127,3.1581,52.89208296
3/5/17,Bonaire,REB,Front Porch,2,sch,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,14,3,,0.0194,2.9779,50.21765253
3/5/17,Bonaire,REB,Front Porch,2,sgm,Sergeant Major,Abudefduf saxatilis,Pomacentridae,Carnivores,8,1,,0.0227,3.142,15.61473422
3/5/17,Bonaire,REB,Front Porch,2,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,21,1,,0.0405,2.718,158.9450716
3/5/17,Bonaire,REB,Front Porch,2,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,31,1,,0.0405,2.718,458.1166825
3/5/17,Bonaire,REB,Front Porch,2,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,18,1,,0.0405,2.718,104.5407694
3/5/17,Bonaire,REB,Front Porch,2,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,28,1,,0.0405,2.718,347.4005906
3/5/17,Bonaire,REB,Front Porch,2,roh,Rock Hind,Epinephelus ascensionis,Serranidae,Carnivores,12,2,,0.01122,3.04,21.41429814
