Date,Island,Site,Surveyor,Transect,Species Code,Common name,Species,Family,Functional Group,Length,Number,Phase,a,b,Biomass
3/6/17,Bonaire,18th Palm,MWW,2,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,33,1,,0.0405,2.718,542.9700963
3/6/17,Bonaire,18th Palm,REB,2,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,26,1,,0.0203,3.1264,538.6029317
3/6/17,Bonaire,18th Palm,MWW,4,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,26,1,,0.0203,3.1264,538.6029317
3/6/17,Bonaire,18th Palm,REB,1,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,31,1,,0.0194,2.9779,535.7074894
3/6/17,Bonaire,18th Palm,REB,6,btp,Bucktooth parrotfish,Sparisoma radians,Scaridae,Herbivores,16,1,T,0.121,3.0275,534.8827817
3/6/17,Bonaire,18th Palm,REB,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,1,T,0.025,2.9214,516.6566721
3/6/17,Bonaire,18th Palm,MWW,1,StoP,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,1,T,0.025,2.9214,516.6566721
3/6/17,Bonaire,18th Palm,MWW,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,1,t,0.025,2.9214,516.6566721
3/6/17,Bonaire,18th Palm,MWW,5,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,1,t,0.025,2.9214,516.6566721
3/6/17,Bonaire,18th Palm,MWW,1,QuP,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,30,1,T,0.025,2.9214,516.6566721
3/6/17,Bonaire,18th Palm,MWW,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,30,1,t,0.025,2.9214,516.6566721
3/6/17,Bonaire,18th Palm,REB,2,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,32,1,,0.0405,2.718,499.4047449
3/6/17,Bonaire,18th Palm,REB,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,29,1,T,0.025,2.9214,467.9392986
3/6/17,Bonaire,18th Palm,MWW,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,29,1,t,0.025,2.9214,467.9392986
3/6/17,Bonaire,18th Palm,REB,2,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,31,1,,0.0135,3.0439,467.6162861
3/6/17,Bonaire,18th Palm,MWW,1,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,31,1,,0.0405,2.718,458.1166825
3/6/17,Bonaire,18th Palm,MWW,3,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,29,1,,0.0194,2.9779,439.2145593
3/6/17,Bonaire,18th Palm,REB,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,1,T,0.025,2.9214,422.3451209
3/6/17,Bonaire,18th Palm,MWW,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,1,t,0.025,2.9214,422.3451209
3/6/17,Bonaire,18th Palm,MWW,7,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,1,t,0.025,2.9214,422.3451209
3/6/17,Bonaire,18th Palm,REB,2,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,28,1,I,0.025,2.9214,422.3451209
3/6/17,Bonaire,18th Palm,REB,4,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,28,1,T,0.025,2.9214,422.3451209
3/6/17,Bonaire,18th Palm,REB,5,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,28,1,T,0.025,2.9214,422.3451209
3/6/17,Bonaire,18th Palm,MWW,7,baj,Bar Jack,Caranx ruber,Carangidae,Carnivores,28,1,,0.0074,3.237,357.8345471
3/6/17,Bonaire,18th Palm,MWW,6,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,27,1,,0.0194,2.9779,355.0257743
3/6/17,Bonaire,18th Palm,REB,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,26,1,I,0.025,2.9214,340.1285968
3/6/17,Bonaire,18th Palm,MWW,4,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,26,1,t,0.025,2.9214,340.1285968
3/6/17,Bonaire,18th Palm,MWW,4,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,26,1,t,0.025,2.9214,340.1285968
3/6/17,Bonaire,18th Palm,REB,5,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,26,1,I,0.025,2.9214,340.1285968
3/6/17,Bonaire,18th Palm,REB,4,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,22,1,,0.0203,3.1264,319.4819358
3/6/17,Bonaire,18th Palm,MWW,5,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,22,1,,0.0203,3.1264,319.4819358
3/6/17,Bonaire,18th Palm,REB,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,25,1,I,0.025,2.9214,303.3066623
3/6/17,Bonaire,18th Palm,REB,5,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,25,1,I,0.025,2.9214,303.3066623
3/6/17,Bonaire,18th Palm,MWW,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,25,1,t,0.025,2.9214,303.3066623
3/6/17,Bonaire,18th Palm,MWW,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,25,1,t,0.025,2.9214,303.3066623
3/6/17,Bonaire,18th Palm,MWW,2,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,25,1,i,0.025,2.9214,303.3066623
3/6/17,Bonaire,18th Palm,MWW,5,scf,Scrawled Filefish,Aluterus scriptus,Monacanthidae,Omnivores,26,1,,0.823,1.8136,303.106674
3/6/17,Bonaire,18th Palm,MWW,6,ytp,Yellowtail parrotfish,Sparisoma rubiprinne,Scaridae,Herbivores,25,1,t,0.0156,3.0641,299.6074298
3/6/17,Bonaire,18th Palm,REB,2,btp,Bucktooth parrotfish,Sparisoma radians,Scaridae,Herbivores,13,1,T,0.121,3.0275,285.2652492
3/6/17,Bonaire,18th Palm,MWW,3,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,25,1,,0.0194,2.9779,282.3106629
3/6/17,Bonaire,18th Palm,MWW,6,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,25,1,,0.0194,2.9779,282.3106629
3/6/17,Bonaire,18th Palm,MWW,3,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,21,1,,0.0203,3.1264,276.2373766
3/6/17,Bonaire,18th Palm,REB,5,mgs,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,25,1,,0.0429,2.719,271.3039868
3/6/17,Bonaire,18th Palm,MWW,1,QuP,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,24,1,T,0.025,2.9214,269.2087244
3/6/17,Bonaire,18th Palm,REB,6,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,24,3,,0.0194,2.9779,249.9958427
3/6/17,Bonaire,18th Palm,MWW,1,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,24,1,,0.0194,2.9779,249.9958427
3/6/17,Bonaire,18th Palm,MWW,6,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,24,1,,0.0194,2.9779,249.9958427
3/6/17,Bonaire,18th Palm,REB,2,baj,Bar Jack,Caranx ruber,Carangidae,Carnivores,25,1,,0.0074,3.237,247.9496661
3/6/17,Bonaire,18th Palm,MWW,7,bsg,Bluestriped Grunt,Haemulon sciurus,Haemulidae,Carnivores,23,1,,0.0194,2.9996,235.743945
3/6/17,Bonaire,18th Palm,REB,4,pud,Puddingwife,Halichoeres radiatus,Labridae,Carnivores,25,1,,0.0131,3.038,231.3199246
3/6/17,Bonaire,18th Palm,REB,3,hcc,Honeycomb Cowfish,Acanthostracion polygonia,Ostraciidae,Omnivores,24,1,,0.02818,2.83,226.9545024
3/6/17,Bonaire,18th Palm,MWW,7,scf,Scrawled Filefish,Aluterus scriptus,Monacanthidae,Omnivores,22,1,,0.823,1.8136,223.8811913
3/6/17,Bonaire,18th Palm,REB,3,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,23,1,,0.0194,2.9779,220.2373906
3/6/17,Bonaire,18th Palm,MWW,7,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,23,1,,0.0194,2.9779,220.2373906
3/6/17,Bonaire,18th Palm,REB,2,csg,Caesar Grunt,Haemulon carbonarium,Haemulidae,Carnivores,23,1,,0.0147,3.0559,213.1186364
3/6/17,Bonaire,18th Palm,MWW,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,22,2,i,0.025,2.9214,208.7822764
3/6/17,Bonaire,18th Palm,MWW,7,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,22,1,i,0.025,2.9214,208.7822764
3/6/17,Bonaire,18th Palm,MWW,4,bsg,Bluestriped Grunt,Haemulon sciurus,Haemulidae,Carnivores,22,1,,0.0194,2.9996,206.3159497
3/6/17,Bonaire,18th Palm,MWW,6,bsg,Bluestriped Grunt,Haemulon sciurus,Haemulidae,Carnivores,22,1,,0.0194,2.9996,206.3159497
3/6/17,Bonaire,18th Palm,MWW,4,ytp,Yellowtail parrotfish,Sparisoma rubiprinne,Scaridae,Herbivores,22,1,i,0.0156,3.0641,202.5078835
3/6/17,Bonaire,18th Palm,REB,4,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,20,1,,0.0415,2.8346,202.2775675
3/6/17,Bonaire,18th Palm,REB,6,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,22,1,,0.0194,2.9779,192.9310959
3/6/17,Bonaire,18th Palm,MWW,2,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,22,1,,0.0194,2.9779,192.9310959
3/6/17,Bonaire,18th Palm,MWW,1,MgS,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,22,1,,0.0429,2.719,191.6481191
3/6/17,Bonaire,18th Palm,MWW,7,mgs,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,22,1,,0.0429,2.719,191.6481191
3/6/17,Bonaire,18th Palm,REB,1,baj,Bar Jack,Caranx ruber,Carangidae,Carnivores,23,1,,0.0074,3.237,189.2974331
3/6/17,Bonaire,18th Palm,MWW,7,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,23,1,,0.0135,3.0439,188.4938255
3/6/17,Bonaire,18th Palm,MWW,7,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,22,1,t,0.0147,3.0548,185.4172519
3/6/17,Bonaire,18th Palm,REB,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,24,1,T,0.0335,2.7086,183.4361709
3/6/17,Bonaire,18th Palm,REB,5,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,24,1,T,0.0335,2.7086,183.4361709
3/6/17,Bonaire,18th Palm,REB,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,21,1,I,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,21,1,i,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,21,2,i,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,4,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,21,1,i,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,5,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,21,1,i,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,21,1,i,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,21,1,i,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,21,1,i,0.025,2.9214,182.2516447
3/6/17,Bonaire,18th Palm,MWW,3,hcc,Honeycomb Cowfish,Acanthostracion polygonia,Ostraciidae,Omnivores,22,1,,0.02818,2.83,177.4177942
3/6/17,Bonaire,18th Palm,REB,2,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,19,6,,0.0415,2.8346,174.9053339
3/6/17,Bonaire,18th Palm,MWW,3,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,21,1,,0.0194,2.9779,167.9726476
3/6/17,Bonaire,18th Palm,MWW,5,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,21,1,,0.0194,2.9779,167.9726476
3/6/17,Bonaire,18th Palm,MWW,4,sand,Sand diver,Synodus intermedius,Synodontidae,Carnivores,28,1,,0.0038,3.21,167.9426019
3/6/17,Bonaire,18th Palm,MWW,2,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,1,t,0.0335,2.7086,163.4635113
3/6/17,Bonaire,18th Palm,REB,3,frg,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,20,1,,0.0127,3.1581,163.1498017
3/6/17,Bonaire,18th Palm,MWW,1,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,21,1,,0.0147,3.0548,160.8543597
3/6/17,Bonaire,18th Palm,REB,6,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,20,1,I,0.025,2.9214,158.040734
3/6/17,Bonaire,18th Palm,MWW,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,20,1,i,0.025,2.9214,158.040734
3/6/17,Bonaire,18th Palm,REB,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,20,1,I,0.025,2.9214,158.040734
3/6/17,Bonaire,18th Palm,MWW,4,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,20,1,i,0.025,2.9214,158.040734
3/6/17,Bonaire,18th Palm,MWW,5,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,20,1,i,0.025,2.9214,158.040734
3/6/17,Bonaire,18th Palm,MWW,4,sph,Spanish Hogfish,Bodianus rufus,Labridae,Carnivores,21,1,,0.0144,3.0532,156.8059156
3/6/17,Bonaire,18th Palm,MWW,6,blm,Black Margate,Anisotremus surinamensis,Haemulidae,Carnivores,20,1,,0.0059,3.3916,152.5546131
3/6/17,Bonaire,18th Palm,MWW,6,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,1,,0.0415,2.8346,150.0526051
3/6/17,Bonaire,18th Palm,MWW,7,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,4,,0.0415,2.8346,150.0526051
3/6/17,Bonaire,18th Palm,REB,1,mgs,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,20,1,,0.0429,2.719,147.8964843
3/6/17,Bonaire,18th Palm,MWW,7,mgs,Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Carnivores,20,1,,0.0429,2.719,147.8964843
3/6/17,Bonaire,18th Palm,MWW,5,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,20,1,,0.0194,2.9779,145.25763
3/6/17,Bonaire,18th Palm,MWW,6,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,20,1,,0.0194,2.9779,145.25763
3/6/17,Bonaire,18th Palm,REB,2,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,22,1,T,0.0335,2.7086,144.9208526
3/6/17,Bonaire,18th Palm,MWW,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,22,1,t,0.0335,2.7086,144.9208526
3/6/17,Bonaire,18th Palm,MWW,6,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,22,1,t,0.0335,2.7086,144.9208526
3/6/17,Bonaire,18th Palm,REB,4,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,21,1,T,0.0135,3.0439,142.9015962
3/6/17,Bonaire,18th Palm,MWW,1,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,21,2,,0.0135,3.0439,142.9015962
3/6/17,Bonaire,18th Palm,REB,2,baj,Bar Jack,Caranx ruber,Carangidae,Carnivores,21,1,,0.0074,3.237,141.0118391
3/6/17,Bonaire,18th Palm,REB,2,frg,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,19,1,,0.0127,3.1581,138.7507911
3/6/17,Bonaire,18th Palm,MWW,2,frg,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,19,1,,0.0127,3.1581,138.7507911
3/6/17,Bonaire,18th Palm,MWW,1,StrP,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,20,1,T,0.0147,3.0548,138.5810238
3/6/17,Bonaire,18th Palm,MWW,2,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,20,1,t,0.0147,3.0548,138.5810238
3/6/17,Bonaire,18th Palm,MWW,5,hcc,Honeycomb Cowfish,Acanthostracion polygonia,Ostraciidae,Omnivores,20,1,,0.02818,2.83,135.4739758
3/6/17,Bonaire,18th Palm,MWW,4,drf,Doctorfish,Acanthurus chirurgus,Acanthuridae,Herbivores,19,3,,0.004,3.5328,131.716661
3/6/17,Bonaire,18th Palm,MWW,7,pcf,Peacock Flounder,Bothus lunatus,Bothidae,Carnivores,22,1,,0.01047,3.05,130.1175443
3/6/17,Bonaire,18th Palm,REB,5,btp,Bucktooth parrotfish,Sparisoma radians,Scaridae,Herbivores,10,1,I,0.121,3.0275,128.9096325
3/6/17,Bonaire,18th Palm,REB,5,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,21,1,T,0.0335,2.7086,127.7638496
3/6/17,Bonaire,18th Palm,MWW,1,PrP,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,21,1,T,0.0335,2.7086,127.7638496
3/6/17,Bonaire,18th Palm,MWW,2,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,21,1,t,0.0335,2.7086,127.7638496
3/6/17,Bonaire,18th Palm,MWW,7,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,21,1,t,0.0335,2.7086,127.7638496
3/6/17,Bonaire,18th Palm,REB,2,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,19,1,,0.0194,2.9779,124.6815171
3/6/17,Bonaire,18th Palm,MWW,5,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,19,1,,0.0194,2.9779,124.6815171
3/6/17,Bonaire,18th Palm,MWW,6,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,19,1,,0.0194,2.9779,124.6815171
3/6/17,Bonaire,18th Palm,MWW,1,GrB,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/6/17,Bonaire,18th Palm,MWW,2,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/6/17,Bonaire,18th Palm,MWW,5,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,20,1,,0.0135,3.0439,123.1796519
3/6/17,Bonaire,18th Palm,MWW,5,yts,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,19,1,,0.0405,2.718,121.0897299
3/6/17,Bonaire,18th Palm,MWW,1,BaJ,Bar Jack,Caranx ruber,Carangidae,Carnivores,20,1,,0.0074,3.237,120.4109037
3/6/17,Bonaire,18th Palm,MWW,3,baj,Bar Jack,Caranx ruber,Carangidae,Carnivores,20,1,,0.0074,3.237,120.4109037
3/6/17,Bonaire,18th Palm,MWW,6,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,19,1,t,0.0147,3.0548,118.4823979
3/6/17,Bonaire,18th Palm,MWW,5,rkb,Rock Beauty,Holacanthus tricolour,Pomacanthidae,Omnivores,16,1,,0.0428,2.8577,118.1564525
3/6/17,Bonaire,18th Palm,REB,1,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,16,1,,0.0203,3.1264,118.0474885
3/6/17,Bonaire,18th Palm,MWW,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,18,1,i,0.025,2.9214,116.1697635
3/6/17,Bonaire,18th Palm,REB,6,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,18,1,I,0.025,2.9214,116.1697635
3/6/17,Bonaire,18th Palm,MWW,4,bsg,Bluestriped Grunt,Haemulon sciurus,Haemulidae,Carnivores,18,1,,0.0194,2.9996,113.010068
3/6/17,Bonaire,18th Palm,MWW,1,gtf,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,20,1,,0.00977,3.12,111.9716686
3/6/17,Bonaire,18th Palm,MWW,4,gtf,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,20,7,,0.00977,3.12,111.9716686
3/6/17,Bonaire,18th Palm,MWW,2,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,1,t,0.0335,2.7086,111.9475654
3/6/17,Bonaire,18th Palm,MWW,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,1,t,0.0335,2.7086,111.9475654
3/6/17,Bonaire,18th Palm,MWW,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,1,t,0.0335,2.7086,111.9475654
3/6/17,Bonaire,18th Palm,MWW,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,1,t,0.0335,2.7086,111.9475654
3/6/17,Bonaire,18th Palm,MWW,5,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,2,t,0.0335,2.7086,111.9475654
3/6/17,Bonaire,18th Palm,MWW,6,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,1,t,0.0335,2.7086,111.9475654
3/6/17,Bonaire,18th Palm,MWW,7,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,1,t,0.0335,2.7086,111.9475654
3/6/17,Bonaire,18th Palm,MWW,4,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,19,1,t,0.0046,3.4291,111.617375
3/6/17,Bonaire,18th Palm,MWW,6,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,19,1,t,0.0046,3.4291,111.617375
3/6/17,Bonaire,18th Palm,MWW,4,drf,Doctorfish,Acanthurus chirurgus,Acanthuridae,Herbivores,18,10,,0.004,3.5328,108.8144816
3/6/17,Bonaire,18th Palm,MWW,4,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,16,70,,0.0415,2.8346,107.4599414
3/6/17,Bonaire,18th Palm,MWW,5,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,16,3,,0.0415,2.8346,107.4599414
3/6/17,Bonaire,18th Palm,MWW,5,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,16,1,,0.0415,2.8346,107.4599414
3/6/17,Bonaire,18th Palm,MWW,4,sms,Schoolmaster,Lutjanus apodus,Lutjanidae,Carnivores,18,1,,0.0194,2.9779,106.1396675
3/6/17,Bonaire,18th Palm,MWW,4,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,19,1,,0.0135,3.0439,105.3736089
3/6/17,Bonaire,18th Palm,MWW,5,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,19,1,,0.0135,3.0439,105.3736089
3/6/17,Bonaire,18th Palm,MWW,7,grb,Graysby,Cephalopholis cruentata,Serranidae,Carnivores,19,1,,0.0135,3.0439,105.3736089
3/6/17,Bonaire,18th Palm,MWW,3,sand,Sand diver,Synodus intermedius,Synodontidae,Carnivores,24,1,,0.0038,3.21,102.3909759
3/6/17,Bonaire,18th Palm,MWW,1,BaJ,Bar Jack,Caranx ruber,Carangidae,Carnivores,19,1,,0.0074,3.237,101.9898906
3/6/17,Bonaire,18th Palm,REB,4,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,18,3,I,0.0147,3.0548,100.44395
3/6/17,Bonaire,18th Palm,REB,5,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,18,1,T,0.0147,3.0548,100.44395
