Date,Time,Diver,Island,Site,Follow Number,Species Code,Species,Phase,Length.cm,Follow.sec,Min,Sec,Activity Code,Activity,Bites,Initiator,Competitor Code,Competitor Species,Competitor Size,Competitor Phase,Time.sec,Time Fraction,a,b,Weight.g
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,5,s,swim,,,,#N/A,,,7,0.058333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,12,g,graze,10,2,bhw,Thalassoma bifasciatum,,,13,0.108333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,25,s,swim,,,,#N/A,,,10,0.083333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,35,g,graze,5,2,dam,Pomacentridae,,,7,0.058333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,42,s,swim,,,,#N/A,,,10,0.083333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,52,g,graze,4,,,#N/A,,,5,0.041666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,57,s,swim,,,,#N/A,,,3,0.025,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,0,0,g,graze,8,,,#N/A,,,10,0.083333333,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,0,10,s,swim,,,,#N/A,,,43,0.358333333,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,0,53,g,graze,9,,,#N/A,,,13,0.108333333,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,1,6,s,swim,,,,#N/A,,,15,0.125,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,1,21,c,cleaned,,,,#N/A,,,14,0.116666667,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,1,35,g,graze,3,,,#N/A,,,5,0.041666667,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,1,40,s,swim,,,,#N/A,,,10,0.083333333,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,1,50,g,graze,7,,,#N/A,,,10,0.083333333,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,4,qup,Scarus vetula,i,28,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,334.7864879
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,0,0,g,graze,12,,,#N/A,,,21,0.175,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,0,21,s,swim,,,,#N/A,,,7,0.058333333,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,0,28,g,graze,6,,,#N/A,,,10,0.083333333,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,0,38,s,swim,,,,#N/A,,,7,0.058333333,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,0,45,g,graze,5,,,#N/A,,,10,0.083333333,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,0,55,s,swim,,,,#N/A,,,2,0.016666667,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,0,57,g,graze,3,,,#N/A,,,5,0.041666667,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,1,2,s,swim,,,,#N/A,,,6,0.05,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,1,8,g,graze,24,,,#N/A,,,22,0.183333333,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,1,30,s,swim,,,,#N/A,,,30,0.25,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,5,qup,Scarus vetula,t,22,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,161.2203313
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,0,s,swim,,,,#N/A,,,9,0.075,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,9,g,graze,5,,,#N/A,,,7,0.058333333,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,16,s,swim,,,,#N/A,,,9,0.075,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,25,g,graze,2,,,#N/A,,,3,0.025,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,28,s,swim,,,,#N/A,,,2,0.016666667,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,30,g,graze,12,2,bhw,Thalassoma bifasciatum,,,9,0.075,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,39,s,swim,,,,#N/A,,,12,0.1,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,0,51,g,graze,9,,,#N/A,,,14,0.116666667,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,1,5,s,swim,,,,#N/A,,,8,0.066666667,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,1,13,g,graze,7,,,#N/A,,,11,0.091666667,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,1,24,s,swim,,,,#N/A,,,6,0.05,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,1,30,g,graze,16,,,#N/A,,,23,0.191666667,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,1,53,s,swim,,,,#N/A,,,7,0.058333333,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,6,qup,Scarus vetula,i,25,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,237.4856172
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,0,0,g,graze,19,,,#N/A,,,25,0.208333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,0,25,s,swim,,,,#N/A,,,5,0.041666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,0,30,g,graze,12,,,#N/A,,,20,0.166666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,0,50,s,swim,,,,#N/A,,,13,0.108333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,1,3,g,graze,4,,,#N/A,,,9,0.075,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,1,12,s,swim,,,,#N/A,,,13,0.108333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,1,25,g,graze,7,,,#N/A,,,10,0.083333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,1,35,s,swim,,,,#N/A,,,4,0.033333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,1,39,g,graze,14,,,#N/A,,,11,0.091666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,1,50,s,swim,,,,#N/A,,,10,0.083333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,7,qup,Scarus vetula,i,20,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,0,0,g,graze,4,,,#N/A,,,10,0.083333333,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,0,10,s,swim,,,,#N/A,,,6,0.05,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,0,16,g,graze,7,,,#N/A,,,14,0.116666667,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,0,30,s,swim,,,,#N/A,,,32,0.266666667,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,1,2,g,graze,2,,,#N/A,,,4,0.033333333,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,1,6,s,swim,,,,#N/A,,,44,0.366666667,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,1,50,g,graze,5,,,#N/A,,,10,0.083333333,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,8,stop,Sparisoma viride,t,38,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.04,875.8328294
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,0,0,g,graze,4,,,#N/A,,,8,0.066666667,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,0,8,s,swim,,,,#N/A,,,6,0.05,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,0,14,g,graze,2,,,#N/A,,,2,0.016666667,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,0,16,s,swim,,,,#N/A,,,4,0.033333333,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,0,20,g,graze,4,,,#N/A,,,3,0.025,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,0,23,s,swim,,,,#N/A,,,17,0.141666667,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,0,40,g,graze,20,,,#N/A,,,22,0.183333333,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,1,2,s,swim,,,,#N/A,,,33,0.275,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,1,35,g,graze,19,,,#N/A,,,15,0.125,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,1,50,s,swim,,,,#N/A,,,10,0.083333333,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,9,qup,Scarus vetula,i,21,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,140.0243449
3/26/17,9:30,MWW,Antigua,Pillars,10,stop,Sparisoma viride,i,28,120,0,0,s,swim,,1,stop,Sparisoma viride,28,i,20,0.166666667,0.0138,3.04,346.1302067
3/26/17,9:30,MWW,Antigua,Pillars,10,stop,Sparisoma viride,i,28,120,0,20,s,swim,,2,stop,Sparisoma viride,34,t,100,0.833333333,0.0138,3.04,346.1302067
3/26/17,9:30,MWW,Antigua,Pillars,10,stop,Sparisoma viride,i,28,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.04,346.1302067
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,0,0,s,swim,,,,#N/A,,,38,0.316666667,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,0,38,g,graze,1,,,#N/A,,,1,0.008333333,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,0,39,s,swim,,,,#N/A,,,9,0.075,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,0,48,g,graze,2,,,#N/A,,,7,0.058333333,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,0,55,s,swim,,,,#N/A,,,5,0.041666667,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,1,0,g,graze,4,,,#N/A,,,12,0.1,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,1,12,s,swim,,1,stop,Sparisoma viride,30,i,48,0.4,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,11,stop,Sparisoma viride,t,34,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.04,624.5611905
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,0,s,swim,,,,#N/A,,,20,0.166666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,20,g,graze,3,,,#N/A,,,2,0.016666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,22,s,swim,,,,#N/A,,,6,0.05,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,28,g,graze,2,,,#N/A,,,2,0.016666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,30,s,swim,,,,#N/A,,,5,0.041666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,35,g,graze,1,,,#N/A,,,1,0.008333333,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,36,s,swim,,,,#N/A,,,9,0.075,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,0,45,g,graze,14,,,#N/A,,,15,0.125,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,1,0,s,swim,,,,#N/A,,,8,0.066666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,1,8,g,graze,1,,,#N/A,,,1,0.008333333,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,1,9,s,swim,,,,#N/A,,,5,0.041666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,1,14,g,graze,8,2,dam,Pomacentridae,,,17,0.141666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,1,31,s,swim,,,,#N/A,,,8,0.066666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,1,39,g,graze,15,,,#N/A,,,16,0.133333333,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,1,55,s,swim,,,,#N/A,,,5,0.041666667,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,13,qup,Scarus vetula,i,26,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,267.4535278
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,0,0,c,cleaned,,,,#N/A,,,13,0.108333333,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,0,13,s,swim,,,,#N/A,,,4,0.033333333,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,0,17,g,graze,3,,,#N/A,,,4,0.033333333,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,0,21,s,swim,,,,#N/A,,,9,0.075,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,0,30,g,graze,38,,,#N/A,,,59,0.491666667,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,1,29,s,swim,,,,#N/A,,,11,0.091666667,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,1,40,c,cleaned,,,,#N/A,,,9,0.075,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,1,49,s,swim,,,,#N/A,,,9,0.075,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,1,58,g,graze,2,,,#N/A,,,2,0.016666667,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,14,qup,Scarus vetula,t,35,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,658.2718155
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,0,0,g,graze,6,,,#N/A,,,15,0.125,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,0,15,s,swim,,,,#N/A,,,13,0.108333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,0,28,g,graze,15,2,blt,Acanthurus coeruleus,,,17,0.141666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,0,45,s,swim,,,,#N/A,,,15,0.125,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,1,0,g,graze,5,,,#N/A,,,4,0.033333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,1,4,s,swim,,,,#N/A,,,21,0.175,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,1,25,g,graze,3,,,#N/A,,,8,0.066666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,1,33,s,swim,,,,#N/A,,,12,0.1,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,1,45,g,graze,14,,,#N/A,,,15,0.125,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,15,qup,Scarus vetula,i,20,120,2,0,s,swim,,,,#N/A,,,-120,-1,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,16,qup,Scarus vetula,t,23,120,0,0,s,swim,,,,#N/A,,,35,0.291666667,0.0138,3.03,184.4651926
3/26/17,9:30,MWW,Antigua,Pillars,16,qup,Scarus vetula,t,23,120,0,35,g,graze,17,,,#N/A,,,18,0.15,0.0138,3.03,184.4651926
3/26/17,9:30,MWW,Antigua,Pillars,16,qup,Scarus vetula,t,23,120,0,53,s,swim,,,,#N/A,,,19,0.158333333,0.0138,3.03,184.4651926
3/26/17,9:30,MWW,Antigua,Pillars,16,qup,Scarus vetula,t,23,120,1,12,c,cleaned,,,,#N/A,,,26,0.216666667,0.0138,3.03,184.4651926
3/26/17,9:30,MWW,Antigua,Pillars,16,qup,Scarus vetula,t,23,120,1,38,g,graze,13,,,#N/A,,,20,0.166666667,0.0138,3.03,184.4651926
3/26/17,9:30,MWW,Antigua,Pillars,16,qup,Scarus vetula,t,23,120,1,58,s,swim,,,,#N/A,,,2,0.016666667,0.0138,3.03,184.4651926
3/26/17,9:30,MWW,Antigua,Pillars,16,qup,Scarus vetula,t,23,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,184.4651926
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,0,0,s,swim,,,,#N/A,,,18,0.15,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,0,18,g,graze,1,,,#N/A,,,1,0.008333333,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,0,19,s,swim,,,,#N/A,,,25,0.208333333,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,0,44,g,graze,4,,,#N/A,,,6,0.05,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,0,50,s,swim,,,,#N/A,,,6,0.05,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,0,56,g,graze,3,,,#N/A,,,9,0.075,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,1,5,s,swim,,,,#N/A,,,45,0.375,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,1,50,g,graze,3,,,#N/A,,,10,0.083333333,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,17,stop,Sparisoma viride,t,26,120,2,0,s,swim,,,,#N/A,,,-120,-1,0.0138,3.04,276.3109298
3/26/17,9:30,MWW,Antigua,Pillars,18,stop,Sparisoma viride,i,27,120,0,0,s,swim,,,,#N/A,,,18,0.15,0.0138,3.04,309.9023928
3/26/17,9:30,MWW,Antigua,Pillars,18,stop,Sparisoma viride,i,27,120,0,18,g,graze,6,2,dam,Pomacentridae,,,24,0.2,0.0138,3.04,309.9023928
3/26/17,9:30,MWW,Antigua,Pillars,18,stop,Sparisoma viride,i,27,120,0,42,s,swim,,,,#N/A,,,15,0.125,0.0138,3.04,309.9023928
